005	005	005	Sega 
1941	1941 - 카운터 어택 (해외판)	1941 - 카운터 어택 (해외판)	Capcom 
1941j	1941 - 카운터 어택 (일본판)	1941 - 카운터 어택 (일본판)	Capcom 
1942	1942 (세트 1)	1942 (세트 1)	Capcom 
1942a	1942 (세트 2)	1942 (세트 2)	Capcom 
1942b	1942 (세트 3)	1942 (세트 3)	Capcom 
1943	1943 - 미드웨이 해전 (미국판)	1943 - 미드웨이 해전 (미국판)	Capcom 
1943j	1943 - 미드웨이 해전 (일본판)	1943 - 미드웨이 해전 (일본판)	Capcom 
1943kai	1943 改	1943 改	Capcom 
1944	1944: 더 루프 마스터 (미국판 000620)	1944: 더 루프 마스터 (미국판 000620)	Capcom, supported by Eighting/Raizing 
1944j	1944: 더 루프 마스터 (일본판 000620)	1944: 더 루프 마스터 (일본판 000620)	Capcom, supported by Eighting/Raizing
19xx	19XX (미국판 951207)	19XX (미국판 951207)	Capcom 
19xxh	19XX (스페인 951218)	19XX (스페인 951218)	Capcom 
19xxj	19XX (일본판 951225)	19XX (일본판 951225)	Capcom 
19xxjr1	19XX (일본판 951207)	19XX (일본판 951207)	Capcom 
2020bb	2020년 수퍼 베이스볼 (세트 1)	2020년 수퍼 베이스볼 (세트 1)	SNK/Pallas 
2020bbh	2020년 수퍼 베이스볼 (세트 2)	2020년 수퍼 베이스볼 (세트 2)	SNK/Pallas 
280zzzap	Datsun 280 Zzzap	Datsun 280 Zzzap	Midway 
3countb	쓰리 카운트 바우트 / 파이어 스플렉스	쓰리 카운트 바우트 / 파이어 스플렉스	SNK 
3kokushi	삼각지 (일본판)	삼각지 (일본판)	Mitchell 
3stooges	쓰리 스투지즈	쓰리 스투지즈	Mylstar 
3wonders	쓰리 원더스 (해외판)	쓰리 원더스 (해외판)	Capcom 
3wonderu	쓰리 원더스 (미국판)	쓰리 원더스 (미국판)	Capcom 
40love	포티 - 러브	포티 - 러브	Taito Corporation 
4dwarrio	4-D 워리어즈	4-D 워리어즈	Coreland/Sega 
4enraya	4 엔 라야	4 엔 라야	IDSA 
4in1	4 펀 인 1	4 펀 인 1	Armenia/Food and Fun 
47pie2	아이돌 마작사 스-치-파이 2 (v.1.1)	아이돌 마작사 스-치-파이 2 (v.1.1)	Jeleco
47pie2o	아이돌 마작사 스-치-파이 2 (v.1.0)	아이돌 마작사 스-치-파이 2 (v.1.0)	Jeleco
600	600	600	Konami 
64streej	64번가 - 탐정이야기 (일본판)	64번가 - 탐정이야기 (일본판)	Jaleco 
64street	64번가 - 탐정이야기 (해외판)	64번가 - 탐정이야기 (해외판)	Jaleco 
720	720˚ (세트 1)	720˚ (세트 1)	Atari Games 
720b	720˚ (세트 2)	720˚ (세트 2)	Atari Games 
7toitsu	칠대자	칠대자	Yuga 
800fath	800 팬텀스	800 팬텀스	Amenip (US Billiards Inc. 라이센스) 
88games	'88 게임즈 / 하이퍼 스포츠 스페셜	'88 게임즈 / 하이퍼 스포츠 스페셜	Konami 
8ball	비디오 에이트 볼	비디오 에이트 볼	Century Electronics 
8ball1	비디오 에이트 볼 (Rev.1)	비디오 에이트 볼 (Rev.1)	Century Electronics 
99lstwar	'99 더 라스트 워	'99 더 라스트 워	Proma 
99lstwra	'99 더 라스트 워 (다른 버전)	'99 더 라스트 워 (다른 버전)	Proma 
vimana	비마나	비마나	Toaplan 
vimana1	비마나 (구버전)	비마나 (구버전)	Toaplan 
vimanan	비마나 (Nova Apparate GMBH & Co)	비마나 (Nova Apparate GMBH & Co)	Toaplan (Nova Apparate GMBH & Co 라이센스) 
aafb	올 아메리칸 풋볼(미식축구) (Rev. E)	올 아메리칸 풋볼(미식축구) (Rev. E)	Leland Corp. 
aafbb	올 아메리칸 풋볼(미식축구) (Rev. B)	올 아메리칸 풋볼(미식축구) (Rev. B)	Leland Corp. 
aafbc	올 아메리칸 풋볼(미식축구) (Rev. C)	올 아메리칸 풋볼(미식축구) (Rev. C)	Leland Corp. 
aafbd2p	올 아메리칸 풋볼(미식축구) (Rev. D, 2인용)	올 아메리칸 풋볼(미식축구) (Rev. D, 2인용)	Leland Corp. 
abaseb	아타리 베이스볼 (세트 1)	아타리 베이스볼 (세트 1)	Atari 
abaseb2	아타리 베이스볼 (세트 2)	아타리 베이스볼 (세트 2)	Atari 
aburner	애프터 버너 (일본판)	애프터 버너 (일본판)	Sega 
aburner2	애프터 버너 II	애프터 버너 2	Sega 
ace	에이스	에이스	Allied Leisure 
acrobatm	애크로뱃 미션	애크로뱃 미션	UPL (Taito 라이센스) 
actfanc1	액트-팬서 사이버네틱 하이퍼 웨폰 (해외판 Rev. 1)	액트-팬서 사이버네틱 하이퍼 웨폰 (해외판 Rev. 1)	Data East Corporation 
actfancj	액트-팬서 사이버네틱 하이퍼 웨폰 (일본판 Rev. 1)	액트-팬서 사이버네틱 하이퍼 웨폰 (일본판 Rev. 1)	Data East Corporation 
actfancr	액트-팬서 사이버네틱 하이퍼 웨폰 (해외판 Rev. 2)	액트-팬서 사이버네틱 하이퍼 웨폰 (해외판 Rev. 2)	Data East Corporation 
aeroboto	에어로보토	에어로보토	[Jaleco] (Williams 라이센스) 
aerofgt	에어로 파이터즈 / 소닉 윙즈	에어로 파이터즈 / 소닉 윙즈	Video System Co. 
aerofgtb	에어로 파이터즈 / 소닉 윙즈 (터보 포스 하드웨어 세트 1)	에어로 파이터즈 / 소닉 윙즈 (터보 포스 하드웨어 세트 1)	Video System Co. 
aerofgtc	에어로 파이터즈 / 소닉 윙즈 (터보 포스 하드웨어 세트 2)	에어로 파이터즈 / 소닉 윙즈 (터보 포스 하드웨어 세트 2)	Video System Co. 
agallet	에어 갤릿 (대만판)	에어 갤릿 (대만판)	Banpresto/Gazelle 
airbustj	에어 버스터 (일본판)	에어 버스터 (일본판)	Kaneko (Namco 라이센스) 
airbustr	에어 버스터	에어 버스터	Kaneko (Namco 라이센스) 
airduel	에어 듀얼 (일본판)	에어 듀얼 (일본판)	Irem 
airwolf	에어 울프	에어 울프	Kyugo 
ajax	에이 잭스	에이 잭스	Konami 
ajaxj	에이 잭스 (일본판)	에이 잭스 (일본판)	Konami 
akkanvdr	아칸베이더 (일본판)	아칸베이더 (일본판)	Taito Corporation 
alcon	알콘 / 슬랩 파이트	알콘 / 슬랩 파이트	제작사 미상 
alexkida	알렉스 키드 (세트 2)	알렉스 키드 (세트 2)	Sega 
alexkidd	알렉스 키드 (세트 1)	알렉스 키드 (세트 1)	Sega 
alibaba	알리바바와 40인의 도적	알리바바와 40인의 도적	Sega 
alien3	에일리언 3	에일리언 3	Sega 
alieninv	에일리언 인베이션 파트 II / 우주 침략자	에일리언 인베이션 파트 II / 우주 침략자	해적판 
aliens	에일리언즈 (해외판, 세트 1)	에일리언즈 (해외판, 세트 1)	Konami 
aliens2	에일리언즈 (해외판, 세트 2)	에일리언즈 (해외판, 세트 2)	Konami 
aliensj	에일리언즈 (일본판)	에일리언즈 (일본판)	Konami 
aliensu	에일리언즈 (미국판)	에일리언즈 (미국판)	Konami 
aliensya	에일리언 신드롬 (세트 2)	에일리언 신드롬 (세트 2)	Sega 
aliensyb	에일리언 신드롬 (세트 3)	에일리언 신드롬 (세트 3)	Sega 
aliensyj	에일리언 신드롬 (일본판)	에일리언 신드롬 (일본판)	Sega 
aliensyn	에일리언 신드롬 (세트 1)	에일리언 신드롬 (세트 1)	Sega 
aligator	엘리게이터 헌트	엘리게이터 헌트	Gaelco 
aligatun	엘리게이터 헌트 (비암호화)	엘리게이터 헌트 (비암호화)	Gaelco 
alleymas	앨리 마스터	앨리 마스터	Cinematronics 
alphaho	알파 파이터 / 헤드 온	알파 파이터 / 헤드 온	Data East 
alpham2	알파 미션 2 / 아소 II - 라스트 가디언	알파 미션 2 / 아소 II - 라스트 가디언	SNK 
alphaona	알파 원 (시험판, 5목숨)	알파 원 (시험판, 5목숨)	Atari 
alphaone	알파 원 (시험판, 3목숨)	알파 원 (시험판, 3목숨)	Atari 
alphaxz	알팍스 제트	알팍스 제트	Ed/Wood Place 
alpine	알파인 스키 (세트 1)	알파인 스키 (세트 1)	Taito Corporation 
alpinea	알파인 스키 (세트 2)	알파인 스키 (세트 2)	Taito Corporation 
altbeas2	알터드 비스트 / 수왕기 (버전 2)	알터드 비스트 / 수왕기 (버전 2)	Sega 
altbeast	알터드 비스트 / 수왕기 (버전 1)	알터드 비스트 / 수왕기 (버전 1)	Sega 
amatelas	성전사 아마테라스	성전사 아마테라스	Nichibutsu 
amazon	솔져 걸 아마존	솔져 걸 아마존	Nichibutsu 
ambush	앰부쉬	앰부쉬	Nippon Amuse Co-Ltd 
amidar	아미다	아미다	Konami 
amidaro	아미다 (올림피아)	아미다 (올림피아)	Konami (Olympia 라이센스) 
amidars	아미다 (스크램블 하드웨어)	아미다 (스크램블 하드웨어)	Konami 
amidaru	아미다 (스턴)	아미다 (스턴)	Konami (Stern 라이센스) 
amigo	아미고	아미고	해적판 
amspdwy	아메리칸 스피드웨이 (세트 1)	아메리칸 스피드웨이 (세트 1)	Enerdyne Technologies, Inc. 
amspdwya	아메리칸 스피드웨이 (세트 2)	아메리칸 스피드웨이 (세트 2)	Enerdyne Technologies, Inc. 
androdun	안드로 듀노스	안드로 듀노스	Visco 
angelkds	앤젤 키즈 (일본판)	앤젤 키즈 (일본판)	Sega/Nasco? 
anteater	앤트이터 / 개미핥기	앤트이터 / 개미핥기	[Stern] (Tago 라이센스) 
aodk	통쾌 간간행진곡	통쾌 간간행진곡	ADK/SNK 
aof	용호의 권 / 아트 오브 파이팅	용호의 권 1	SNK 
aof2	용호의 권 2 / 아트 오브 파이팅 2	용호의 권 2	SNK 
aof3	용호의 권 외전 / 아트 오브 파이팅 3 - 전사의 길	용호의 권 3	SNK 
apb	APB - 올 포인츠 불레틴 (세트 1)	APB - 올 포인츠 불레틴 (세트 1)	Atari Games 
apb2	APB - 올 포인츠 불레틴 (세트 2)	APB - 올 포인츠 불레틴 (세트 2)	Atari Games 
apparel	어패럴 나이트 (일본판)	어패럴 나이트 (일본판)	Central Denshi 
appoooh	아푸우우우	아푸우우우	Sega 
aquajack	아쿠아 잭 (해외판)	아쿠아 잭 (해외판)	Taito Corporation Japan 
aquajckj	아쿠아 잭 (일본판)	아쿠아 잭 (일본판)	Taito Corporation 
aquarium	아쿠아리움 (일본판)	아쿠아리움 (일본판)	Excellent System 
arabfgt	아라비안 파이트	아라비안 파이트	Sega 
arabiamj	아라비안 매직 (일본판)	아라비안 매직 (일본판)	Taito Corporation 
arabiamu	아라비안 매직 (미국판)	아라비안 매직 (미국판)	Taito America Corporation 
arabian	아라비안	아라비안	Sun Electronics 
arabiana	아라비안 (아타리)	아라비안 (아타리)	[Sun Electronics] (Atari 라이센스) 
arabianm	아라비안 매직 (해외판)	아라비안 매직 (해외판)	Taito Corporation Japan 
arbalest	아발레스터	아발레스터	Seta 
arcadecl	아케이드 클래식스 (시험판)	아케이드 클래식스 (시험판)	Atari Games 
arcadia	내 청춘의 알카디아 / 뉴욕 뉴욕	내 청춘의 알카디아 / 뉴욕 뉴욕	Sigma Ent. Inc. 
archriv2	아크 라이벌즈 (Rev. 2.0)	아크 라이벌즈 (Rev. 2.0)	Bally Midway 
archrivl	아크 라이벌즈 (Rev. 4.0)	아크 라이벌즈 (Rev. 4.0)	Bally Midway 
area51	에어리어 51	에어리어 51	Atari Games 
area51mx	에어리어 51 / 맥시멈 포스 듀오	에어리어 51 / 맥시멈 포스 듀오	Atari Games 
area88	에어리어 88 (일본판)	에어리어 88 (일본판)	Capcom 
argus	아르구스	아르구스	[NMK] (Jaleco 라이센스) 
arkangc	알카노이드 (게임 코퍼레이션 해적판)	알카노이드 (게임 코퍼레이션 해적판)	해적판 
arkanoid	알카노이드 (해외판)	알카노이드 (해외판)	Taito Corporation Japan 
